Common Names,Assessment Category,Species ID,Scientific Name,Class,Population Trend,Native
Forbes's Blackbird,EN,106009729,Curaeus forbesi,AVES,decreasing,Brazil: -14.23500 -51.92528
Northern Royal Albatross,EN,160030005,Diomedea sanfordi,AVES,decreasing,Brazil: -14.23500 -51.92528
"Golden Conure, Golden Parakeet",EN,106009847,Guaruba guarouba,AVES,decreasing,Brazil: -14.23500 -51.92528
Yellow Cardinal,EN,106009078,Gubernatrix cristata,AVES,decreasing,Brazil: -14.23500 -51.92528
"Crowned Eagle, Crowned Solitary Eagle",EN,106003496,Harpyhaliaetus coronatus,AVES,decreasing,Brazil: -14.23500 -51.92528
"Geoffroy'S/peruvian Woolly Monkey, Geoffroy's Woolly Monkey",EN,39925,Lagothrix cana,MAMMALIA,decreasing,Brazil: -14.23500 -51.92528
"Dark-mantled Sooty Albatross, Sooty Albatross",EN,106003967,Phoebetria fusca,AVES,decreasing,Brazil: -14.23500 -51.92528
"Black Fronted Curassow, Black-fronted Piping-guan, Black-fronted Piping Guan, Black-fronted Piping-Guan",EN,100060090,Pipile jacutinga,AVES,decreasing,Brazil: -14.23500 -51.92528
Dark-winged Trumpeter,EN,106002805,Psophia viridis,AVES,decreasing,Brazil: -14.23500 -51.92528
Atlantic Petrel,EN,106003909,Pterodroma incerta,AVES,decreasing,Brazil: -14.23500 -51.92528
"Giant Brazilian Otter, Giant Otter",EN,18711,Pteronura brasiliensis,MAMMALIA,decreasing,Brazil: -14.23500 -51.92528
